,9,10,10
5,0,0.0862,0.0962
5,0,0.0862,0.0962
5,0,0.0616,0.0716
5,0,0.0467,0.0567
5,0,0.0401,0.0501
5,0,0.0395,0.0495
5,0,0.0395,0.0495
5,0,0.0395,0.0495
5,0,0.0395,0.0495
5,0,0.0395,0.0495
