,1
20,0
1,4
1,5
1,13
1,26
1,22
1,32
1,36
1,44
1,51
1,29
1,30
1,35
1,42
1,31
1,37
1,33
1,46
1,46
1,45
1,35
1,20
1,21
1,20
1,29
1,36
1,54
1,61
1,32
1,35
1,40
1,40
1,26
1,34
1,36
1,35
1,30
1,21
1,13
1,19
1,16
1,16
1,12
1,13
1,21
1,18
1,28
1,26
1,35
1,31
1,23
1,29
1,17
1,12
1,13
1,9
1,8
2,8
1,2
1,1
