,1
28,0
1,212320
1,648564
1,869216
1,862110
1,1914450
1,2300768
1,2815632
1,5024498
1,5711732
1,9053686
1,9075382
1,9680985
1,10139716
1,11553642
1,10472122
1,10012783
1,10512400
1,12510913
1,10773360
1,7180160
1,8464512
1,8992872
1,9360049
1,7412093
1,7281926
1,6173251
1,6048771
1,5142759
1,4670627
1,4264638
1,3995783
1,3582994
1,2597787
1,3606407
1,3449559
1,2506823
1,2521377
1,3074640
1,2310888
1,1449786
1,1065088
1,835790
1,539617
1,460042
1,270872
1,94856
1,136267
1,175189
1,22788
1,49193
1,0
1,0
1,0
1,0
1,0
1,19554
