,4,5,5,5,5,5,5,5,,
5,182,,,,,,,,,
5,749,217,1,,,,,,,
5,606,685,321,2,,,,,,
5,212,476,953,279,5,,,,,
5,79,286,789,977,358,2,,,,
5,28,75,307,651,921,357,7,,,
5,13,37,120,258,568,662,274,7,,
5,6,20,30,83,191,279,285,45,,
5,3,4,4,24,45,52,68,22,5,
5,,3,2,3,5,5,2,1,3,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
