,1
28,0
1,757274
1,1153208
1,1310543
1,1926240
1,1741093
1,3163236
1,4582896
1,5614901
1,9960885
1,12427997
1,14724567
1,12888750
1,14483105
1,15035738
1,15557636
1,16584266
1,18145197
1,20998793
1,16850552
1,12560712
1,12154175
1,12111673
1,12712767
1,11238254
1,8221199
1,7293108
1,6863294
1,5918169
1,4459531
1,4333953
1,3283507
1,3452647
1,3089072
1,2291556
1,2332946
1,2120461
1,2284409
1,1665861
1,1845631
1,1248324
1,1090879
1,686235
1,284666
1,298895
1,299677
1,151577
1,161504
1,93388
1,108525
1,110807
1,0
1,27395
