,1,1,1,1,1,1,1,1,1,1
5,0.022,0.016,0.015,0.012,0.011,0.01,0.01,0.009,0.009,0.008
5,0.022,0.016,0.015,0.012,0.011,0.01,0.01,0.009,0.009,0.008
5,0.016,0.018,0.017,0.016,0.013,0.012,0.011,0.01,0.01,0.009
5,0.034,0.021,0.02,0.019,0.014,0.013,0.0125,0.011,0.009,0.008
5,0.036,0.022,0.021,0.02,0.015,0.014,0.013,0.012,0.01,0.006
5,0.038,0.027,0.026,0.025,0.019,0.016,0.014,0.013,0.011,0.005
5,0.044,0.04,0.038,0.035,0.027,0.024,0.022,0.021,0.015,0.007
5,0.05,0.05,0.05,0.04,0.035,0.024,0.022,0.02,0.015,0.011
5,0.05,0.05,0.05,0.04,0.035,0.024,0.022,0.02,0.015,0.011
