,1,1,1,1,1,1,1,1,1,1
5,0.063,0.035,0.044,0.039,0.022,0.021,0.02,0.018,0.018,0.015
5,0.063,0.035,0.044,0.039,0.022,0.021,0.02,0.018,0.018,0.015
5,0.058,0.044,0.035,0.032,0.03,0.029,0.025,0.022,0.018,0.015
5,0.053,0.032,0.038,0.035,0.034,0.032,0.031,0.025,0.017,0.013
5,0.06,0.046,0.045,0.041,0.039,0.033,0.032,0.018,0.015,0.009
5,0.063,0.061,0.059,0.052,0.043,0.035,0.035,0.021,0.012,0.008
5,0.083,0.081,0.075,0.065,0.053,0.041,0.04,0.039,0.031,0.015
5,0.12,0.1,0.094,0.08,0.065,0.052,0.051,0.049,0.045,0.017
5,0.12,0.1,0.094,0.08,0.065,0.052,0.051,0.049,0.045,0.017
