,4,5,5,5,5,5,5,5,5
5,8183994,0,0,0,0,0,0,0,0
5,38420704,14132559,56359,0,0,0,0,0,0
5,32136786,45477835,22763715,141554,0,0,0,0,0
5,11042020,31734920,66593734,20407455,432045,0,0,0,0
5,3907893,18307146,54564873,71280943,27810514,163846,0,0,0
5,1318436,4785975,20965951,46488561,69584313,29023743,532490,0,0
5,726765,2369480,8350920,18432294,42250680,52149050,22521430,649222,0
5,285204,1279820,1956990,5943796,13387190,21672441,23011185,3838500,0
5,166944,233424,244684,1687056,3205755,4048824,5227500,1773420,352310
5,0,214596,119496,205110,386165,272910,143850,85086,223536
