,4,5,5,5,5,5,5,5,5
5,10543200,0,0,0,0,0,0,0,0
5,50013508,17936168,0,0,0,0,0,0,0
5,30623628,60678807,19601074,0,0,0,0,0,0
5,14314423,36304450,77500200,25571040,247203,0,0,0,0
5,7107105,23308740,57137000,114718865,34258596,562960,0,0,0
5,2696005,7616328,17869068,49062527,93432816,33531960,559013,0,0
5,1279056,2380794,4049604,12862200,32182416,54096192,19773568,518106,0
5,783264,1046027,1082907,4332622,9888981,19155156,24778682,4644695,0
5,373374,0,533232,1147300,3371800,3540544,4981548,2810745,363352
5,39253,0,162164,168156,411870,491330,444006,148886,509747
