,19,5,5,5,5
5,0.125,0.125,0.2,0.4,0.4
5,0.125,0.125,0.2,0.4,0.4
5,0.125,0.125,0.2,0.4,0.4
5,0.125,0.125,0.2,0.4,0.4
5,0.125,0.125,0.2,0.4,0.4
5,0.125,0.125,0.2,0.4,0.4
5,0.125,0.125,0.2,0.4,0.4
5,0.125,0.125,0.2,0.4,0.4
5,1,1,1,1,1
