,4,5,5,5,5,5,5
5,6073286,0,0,0,0,0,0
5,19657602.01,5105108.582,58679.40898,0,0,0,0
5,10559648.28,23324792.72,5547157.007,0,0,0,0
5,3068597.22,11836017.85,16073604.49,3872277.444,0,0,0
5,1375905.367,6070170.738,16348993.19,14163731.72,11411920.99,0,0
5,887347.7176,4702942.903,10470703.07,7187516.513,44189916.34,16149728.46,0
5,269622.1986,2246851.655,5302569.907,1977229.457,22558390.62,18873553.9,1707607.258
5,92375.47727,369501.9091,831379.2955,1385632.159,4249271.955,3510268.136,1755134.068
5,0,0,459100.2632,275460.1579,91820.05263,0,918200.5263
5,0,0,0,91732.4,0,0,366929.6
5,0,0,0,0,0,0,297136
