,19,5,5,5,5
5,0.125,0.22,0.15,0.2,0.2
5,0.125,0.22,0.15,0.2,0.2
5,0.125,0.22,0.15,0.2,0.2
5,0.125,0.22,0.15,0.2,0.2
5,0.125,0.22,0.15,0.2,0.2
5,0.125,0.22,0.15,0.2,0.2
5,0.125,0.22,0.15,0.2,0.2
5,0.125,0.22,0.15,0.2,0.2
5,0.125,0.22,0.15,0.2,0.2
5,1,1,1,1,1
