,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.13,0.11,0.09,0.08,0.065,0.061,0.058,0.056,0.054,0.053,0.052,0.051,0.05,0.049,0.048,0.048,0.048,0.048,0.048,0.048,0.047,0.046,0.045
