,1
30,0
1,0.13
1,0.1
1,0.1
1,0.1
1,0.13
1,0.3
1,0.2
1,0.2
1,0.2
1,0.2
1,0.25
1,0.25
1,0.35
1,0.35
1,0.35
1,0.5
1,0.5
1,0.5
1,0.5
1,0.5
1,1
