,1,1,1,1
5,0.08,0.05,0.035,0.0601
5,0.08,0.05,0.035,0.0324
5,0.08,0.05,0.035,0.019
5,0.08,0.05,0.035,0.0146
5,0.08,0.05,0.035,0.0126
5,0.08,0.05,0.035,0.0091
5,0.08,0.05,0.035,0.005
5,0.08,0.05,0.035,0.0011
5,0.08,0.05,0.035,0
